,date,home_team,home_goals_offense,home_goals_defense,home_offense,home_in_game,home_defense,away_team,away_goals_offense,away_goals_defense,away_offense,away_in_game,away_defense,result
0,2010-08-28,Hercules,0.0,1.0,1.0,0.0,0.0,Ath Bilbao,1.0,0.0,0.77,0.33,0.37,0.0
1,2010-08-28,Levante,1.0,4.0,0.63,0.33,0.0,Sevilla,4.0,1.0,0.82,0.33,0.47,0.0
2,2010-08-28,Malaga,1.0,3.0,0.85,0.59,0.0,Valencia,3.0,1.0,1.07,0.43,0.22,0.0
3,2010-08-29,Espanol,3.0,1.0,0.93,0.52,0.61,Getafe,1.0,3.0,0.4,0.57,0.08,1.0
4,2010-08-29,La Coruna,0.0,0.0,0.35,0.75,0.61,Zaragoza,0.0,0.0,0.46,0.63,0.68,0.5
5,2010-08-29,Mallorca,0.0,0.0,0.23,0.6,0.28,Real Madrid,0.0,0.0,0.61,0.61,0.7,0.5
6,2010-08-29,Osasuna,0.0,0.0,0.6,0.36,0.92,Almeria,0.0,0.0,0.15,0.32,0.54,0.5
7,2010-08-29,Santander,0.0,3.0,0.68,0.37,0.43,Barcelona,3.0,0.0,0.57,0.71,0.28,0.0
8,2010-08-29,Sociedad,1.0,0.0,0.54,0.54,0.18,Villarreal,0.0,1.0,0.7,0.44,0.56,1.0
9,2010-08-30,Ath Madrid,4.0,0.0,0.66,0.56,0.08,Sp Gijon,0.0,4.0,0.72,0.42,0.17,1.0
10,2010-09-11,Ath Bilbao,1.0,1.0,0.67,0.33,0.38,Ath Madrid,3.0,0.5,0.53,0.52,0.23,0.0
11,2010-09-11,Barcelona,1.5,1.0,0.82,0.74,0.3,Hercules,1.0,0.5,0.78,0.37,0.04,0.0
12,2010-09-11,Real Madrid,0.5,0.0,0.8,0.58,0.77,Osasuna,0.0,0.5,0.4,0.44,0.48,1.0
13,2010-09-11,Valencia,2.0,0.5,0.83,0.43,0.22,Santander,0.0,2.0,0.73,0.5,0.41,1.0
14,2010-09-12,Getafe,2.5,2.0,0.78,0.53,0.39,Levante,1.0,4.0,0.49,0.41,0.01,1.0
15,2010-09-12,Sevilla,2.0,0.5,0.85,0.48,0.54,La Coruna,0.0,0.0,0.36,0.67,0.3,0.5
16,2010-09-12,Sp Gijon,1.0,2.0,0.6,0.49,0.47,Mallorca,0.0,1.0,0.22,0.48,0.34,1.0
17,2010-09-12,Villarreal,2.0,0.5,0.61,0.43,0.5,Espanol,1.5,2.5,0.76,0.29,0.52,1.0
18,2010-09-12,Zaragoza,1.5,2.5,0.81,0.67,0.45,Malaga,3.0,3.0,0.71,0.63,0.0,0.0
